File Name	Average Velocity
abel_sonata_e_minor_1_(nc)werths.mid	337.16
abel_sonata_e_minor_2_(nc)werths.mid	329.01
abel_sonata_e_minor_3_(nc)werths.mid	339.61
addinsell_warsaw_concerto_(c)halstead.mid	125.55
alain_prélude_et_fugue_JA_75_(luquet).mid	315.29
albeniz-m_sonata_arr_guitar_(c)pajares.mid	210.47
albinoni_adagio_(c)cowan.mid	355.53
albinoni_magnificat_(c)unknown.mid	295.79
albrechtsberger, duet 1f (gangi).mid	131.17
albrechtsberger, duet 1p (gangi).mid	135.88
albrechtsberger, duet 2f (gangi).mid	150.39
albrechtsberger, duet 2p (gangi).mid	93.32
albrechtsberger, duet 3f (gangi).mid	170.46
albrechtsberger, duet 3p (gangi).mid	100.49
albrechtsberger, duet 4f (gangi).mid	147.89
albrechtsberger, duet 4p (gangi).mid	132.61
albrechtsberger, duet 5f (gangi).mid	127.62
albrechtsberger, duet 5p (gangi).mid	130.89
albrechtsberger, duet 6f (gangi).mid	146.23
albrechtsberger, duet 6p (gangi).mid	114.01
allwood, claro pascali gaudio (cooke).mid	342.90
allwood, voluntary (cooke).mid	442.75
anglebert_fugue_1_(c)mccoy.mid	198.57
anglebert_fugue_2_(c)mccoy.mid	186.70
anglebert_fugue_3_(c)mccoy.mid	230.24
anglebert_fugue_4_(c)mccoy.mid	221.92
anglebert_fugue_5_(c)mccoy.mid	210.06
anglebert_quator_sur_le_kyrie_(c)mccoy.mid	240.16
anglebert_suite_D_1_(c)mccoy.mid	210.42
anglebert_suite_D_2_(c)mccoy.mid	186.80
anglebert_suite_D_3_(c)mccoy.mid	216.25
anglebert_suite_D_4_(c)mccoy.mid	233.86
anglebert_suite_D_5_(c)mccoy.mid	154.66
anonym_damianus_a_goes_[H326]_(mccloskey).mid	341.26
anonym_furore_[_]_(mccloskey).mid	356.05
arriaga_esclavos_felices_(c)pajares.mid	514.90
arriaga_symphony_1_1_(c)pajares.mid	495.05
arriaga_symphony_1_2_(c)pajares.mid	379.17
arriaga_symphony_1_3_(c)pajares.mid	384.63
arriaga_symphony_1_4_(c)pajares.mid	394.29
bacewitz_sonata_violin_piano_4_1_(c)znaniecki.mid	201.77
bacewitz_sonata_violin_piano_4_2_(c)znaniecki.mid	198.08
bacewitz_sonata_violin_piano_4_3_(c)znaniecki.mid	131.43
bacewitz_sonata_violin_piano_4_4_(c)znaniecki.mid	184.36
bach, h. - christ lag in todesbanden (fenske).mid	248.73
bach, j.b. - von himmel hoch... (fenske).mid	306.89
bach, j.c. - in dich hab'ich gehoffet (fenske).mid	292.07
bach, j.c., fughetta (cooke).mid	195.54
bach, j.m. - wenn wir in hoechsten... (fenske).mid	202.37
bach, w.f. - wir danken dir, herr... (fenske).mid	453.85
bach-busoni_chacona_d_minor_(c)hisamori.mid	188.74
bach-j-c_sonata_g_major_1_(nc)werths.mid	234.08
bach-j-c_sonata_g_major_2_(nc)werths.mid	245.99
bach-j-c_sonata_opxvi1_1_(nc)werths.mid	293.67
bach-j-c_sonata_opxvi1_2_(nc)werths.mid	245.68
bach-j-c_sonata_opxvi2_1_(nc)werths.mid	324.01
bach-j-c_sonata_opxvi2_2_(nc)werths.mid	275.17
bach-jcf_anglaise_f_(nc)werths.mid	187.23
bach-jcf_schwaeisch_(nc)werths.mid	183.10
bach-karageanes_532_(c)karageanes.mid	611.43
bach-karageanes_547_(c)karageanes-.mid	522.90
bach-karageanes_550_(c)karageanes.mid	575.94
bach-karageanes_564_(c)karageanes.mid	541.29
bach-liszt_praeludium_543_(c)pepperdine.mid	145.56
bach-liszt_praeludium_544_(c)pepperdine.mid	189.40
bach-liszt_praeludium_545_(c)pepperdine.mid	187.04
bach-liszt_praeludium_546_(c)pepperdine.mid	182.23
bach-liszt_praeludium_547_(c)pepperdine.mid	237.69
bach-liszt_praeludium_548_(c)pepperdine.mid	179.43
bach-liszt_weinen_klagen_soergen_zagen_(c)hisamori.mid	149.99
bach-oguri_cantata_147_choral_(c)oguri.mid	110.06
balakirev_islamey_(c)unknown.mid	86.01
barber_violin_concerto_1_(c)siu.mid	343.53
barber_violin_concerto_3_(c)siu.mid	206.18
barbieri_barberillo_de_lavapies_1_(c)pajares.mid	527.56
barbieri_barberillo_de_lavapies_2_(c)pajares.mid	544.22
barnhouse_battle_of_shiloh_(c)ko-edwards.mid	641.11
bartok_allegro_barbaro_(c)oguri.mid	99.39
bartok_dances_populaires_roumaines_(c)oguri.mid	106.55
bartok_mikrokosmos_selection_1_(c)oguri.mid	130.45
bartok_mikrokosmos_selection_2_(c)oguri.mid	111.35
bartok_music_string_celesta_2_(c)siu.mid	387.36
bartok_music_string_celesta_4_(c)siu.mid	508.80
bartok_piano_sonata_1_(c)unknown.mid	128.88
bartok_piano_sonata_2_(c)unknown.mid	149.31
bartok_piano_sonata_3_(c)unknown.mid	112.88
bartok_roumanian_folk_dances_1_(c)pajares.mid	149.36
bartok_roumanian_folk_dances_2_(c)pajares.mid	114.34
bartok_roumanian_folk_dances_3_(c)pajares.mid	96.14
