File Name	Average Density
abel_sonata_e_minor_1_(nc)werths.mid	6.67
abel_sonata_e_minor_2_(nc)werths.mid	11.76
abel_sonata_e_minor_3_(nc)werths.mid	6.23
addinsell_warsaw_concerto_(c)halstead.mid	11.77
alain_prélude_et_fugue_JA_75_(luquet).mid	7.90
albeniz-m_sonata_arr_guitar_(c)pajares.mid	8.13
albinoni_adagio_(c)cowan.mid	7.38
albinoni_magnificat_(c)unknown.mid	8.18
albrechtsberger, duet 1f (gangi).mid	12.79
albrechtsberger, duet 1p (gangi).mid	10.03
albrechtsberger, duet 2f (gangi).mid	14.59
albrechtsberger, duet 2p (gangi).mid	14.93
albrechtsberger, duet 3f (gangi).mid	11.55
albrechtsberger, duet 3p (gangi).mid	15.21
albrechtsberger, duet 4f (gangi).mid	7.04
albrechtsberger, duet 4p (gangi).mid	13.10
albrechtsberger, duet 5f (gangi).mid	7.72
albrechtsberger, duet 5p (gangi).mid	11.78
albrechtsberger, duet 6f (gangi).mid	8.73
albrechtsberger, duet 6p (gangi).mid	12.31
allwood, claro pascali gaudio (cooke).mid	5.48
allwood, voluntary (cooke).mid	6.57
anglebert_fugue_1_(c)mccoy.mid	9.66
anglebert_fugue_2_(c)mccoy.mid	5.52
anglebert_fugue_3_(c)mccoy.mid	10.49
anglebert_fugue_4_(c)mccoy.mid	8.30
anglebert_fugue_5_(c)mccoy.mid	9.06
anglebert_quator_sur_le_kyrie_(c)mccoy.mid	5.29
anglebert_suite_D_1_(c)mccoy.mid	8.99
anglebert_suite_D_2_(c)mccoy.mid	9.70
anglebert_suite_D_3_(c)mccoy.mid	9.87
anglebert_suite_D_4_(c)mccoy.mid	8.80
anglebert_suite_D_5_(c)mccoy.mid	8.19
anonym_damianus_a_goes_[H326]_(mccloskey).mid	4.89
anonym_furore_[_]_(mccloskey).mid	3.50
arriaga_esclavos_felices_(c)pajares.mid	8.61
arriaga_symphony_1_1_(c)pajares.mid	8.47
arriaga_symphony_1_2_(c)pajares.mid	5.72
arriaga_symphony_1_3_(c)pajares.mid	3.54
arriaga_symphony_1_4_(c)pajares.mid	11.62
bacewitz_sonata_violin_piano_4_1_(c)znaniecki.mid	11.03
bacewitz_sonata_violin_piano_4_2_(c)znaniecki.mid	5.85
bacewitz_sonata_violin_piano_4_3_(c)znaniecki.mid	13.09
bacewitz_sonata_violin_piano_4_4_(c)znaniecki.mid	10.05
bach, h. - christ lag in todesbanden (fenske).mid	3.69
bach, j.b. - von himmel hoch... (fenske).mid	11.94
bach, j.c. - in dich hab'ich gehoffet (fenske).mid	5.22
bach, j.c., fughetta (cooke).mid	5.00
bach, j.m. - wenn wir in hoechsten... (fenske).mid	10.51
bach, w.f. - wir danken dir, herr... (fenske).mid	2.79
bach-busoni_chacona_d_minor_(c)hisamori.mid	8.82
bach-j-c_sonata_g_major_1_(nc)werths.mid	11.61
bach-j-c_sonata_g_major_2_(nc)werths.mid	12.62
bach-j-c_sonata_opxvi1_1_(nc)werths.mid	9.95
bach-j-c_sonata_opxvi1_2_(nc)werths.mid	10.43
bach-j-c_sonata_opxvi2_1_(nc)werths.mid	14.59
bach-j-c_sonata_opxvi2_2_(nc)werths.mid	15.66
bach-jcf_anglaise_f_(nc)werths.mid	6.27
bach-jcf_schwaeisch_(nc)werths.mid	8.15
bach-karageanes_532_(c)karageanes.mid	13.07
bach-karageanes_547_(c)karageanes-.mid	13.22
bach-karageanes_550_(c)karageanes.mid	8.40
bach-karageanes_564_(c)karageanes.mid	14.07
bach-liszt_praeludium_543_(c)pepperdine.mid	15.37
bach-liszt_praeludium_544_(c)pepperdine.mid	15.93
bach-liszt_praeludium_545_(c)pepperdine.mid	9.38
bach-liszt_praeludium_546_(c)pepperdine.mid	8.83
bach-liszt_praeludium_547_(c)pepperdine.mid	12.83
bach-liszt_praeludium_548_(c)pepperdine.mid	11.78
bach-liszt_weinen_klagen_soergen_zagen_(c)hisamori.mid	9.71
bach-oguri_cantata_147_choral_(c)oguri.mid	6.65
balakirev_islamey_(c)unknown.mid	10.60
barber_violin_concerto_1_(c)siu.mid	10.47
barber_violin_concerto_3_(c)siu.mid	13.77
barbieri_barberillo_de_lavapies_1_(c)pajares.mid	9.04
barbieri_barberillo_de_lavapies_2_(c)pajares.mid	11.57
barnhouse_battle_of_shiloh_(c)ko-edwards.mid	7.30
bartok_allegro_barbaro_(c)oguri.mid	9.01
bartok_dances_populaires_roumaines_(c)oguri.mid	7.82
bartok_mikrokosmos_selection_1_(c)oguri.mid	7.97
bartok_mikrokosmos_selection_2_(c)oguri.mid	9.14
bartok_music_string_celesta_2_(c)siu.mid	10.70
bartok_music_string_celesta_4_(c)siu.mid	9.32
bartok_piano_sonata_1_(c)unknown.mid	8.76
bartok_piano_sonata_2_(c)unknown.mid	3.47
bartok_piano_sonata_3_(c)unknown.mid	8.16
bartok_roumanian_folk_dances_1_(c)pajares.mid	8.12
bartok_roumanian_folk_dances_2_(c)pajares.mid	6.24
bartok_roumanian_folk_dances_3_(c)pajares.mid	9.90
bartok_roumanian_folk_dances_4_(c)pajares.mid	7.71
bartok_roumanian_folk_dances_5_(c)pajares.mid	10.21
bartok_roumanian_folk_dances_6_(c)pajares.mid	11.19
bartok_sonatine_(c)oguri.mid	7.73
battiferri_4part-fugue_[mann181]_(mccloskey).mid	3.30
beethoven-liszt_symphony_9_2_(c)pepperdine.mid	8.30
beethoven-liszt_symphony_9_3_(c)pepperdine.mid	10.47
beethoven-liszt_symphony_9_4_(c)pepperdine.mid	8.28
beethoven-saint-saens_variations_35_1_(siu).mid	7.76
beethoven-saint-saens_variations_35_2_(siu).mid	6.29
beethoven_liszt_symphony_1_1_(c)yogore1.mid	7.18
beethoven_liszt_symphony_1_2_(c)yogore.mid	12.88
beethoven_liszt_symphony_1_3_(c)yogore.mid	8.72
beethoven_liszt_symphony_1_4_(c)yogore.mid	11.11
beethoven_liszt_symphony_2_1_(c)yogore.mid	9.05
beethoven_liszt_symphony_2_2_(c)yogore.mid	14.73
beethoven_liszt_symphony_2_3_(c)yogore.mid	8.98
beethoven_liszt_symphony_2_4_(c)yogore.mid	11.05
beethoven_liszt_symphony_4_1_(c)yogore.mid	10.07
beethoven_liszt_symphony_4_2_(c)yogore.mid	15.57
beethoven_liszt_symphony_4_3_(c)yogore.mid	9.55
beethoven_liszt_symphony_4_4_(c)yogore.mid	13.79
berlioz_pieces_for_harmonium_1_(c)blondel.mid	5.79
berlioz_pieces_for_harmonium_2_(c)blondel.mid	6.44
berlioz_pieces_for_harmonium_3_(c)blondel.mid	7.53
berlioz_symphonie_fantastique_1_(c)galimberti.mid	7.24
berlioz_symphonie_fantastique_2_(c)galimberti.mid	13.76
berlioz_symphonie_fantastique_3_(c)galimberti.mid	11.55
berlioz_symphonie_fantastique_5_(c)galimberti.mid	9.55
bernstein_clarinet_sonata_1_(c)gray.mid	6.98
bernstein_clarinet_sonata_2_(c)gray.mid	7.77
bizet_arlesienne_1_minuetto_(c)pajares.mid	7.09
bizet_arlesienne_2_minuetto_(c)pajares.mid	11.18
bizet_jeux_01_(c)yogore.mid	15.91
bizet_jeux_02_(c)yogore.mid	12.92
bizet_jeux_03_(c)yogore.mid	7.03
bizet_jeux_04_(c)yogore.mid	7.07
bizet_jeux_05_(c)yogore.mid	11.14
bizet_jeux_06_(c)yogore.mid	8.04
bizet_jeux_07_(c)yogore.mid	7.64
bizet_jeux_08_(c)yogore.mid	8.53
bizet_jeux_09_(c)yogore.mid	7.56
bizet_jeux_10_(c)yogore.mid	9.29
bizet_jeux_11_(c)yogore.mid	7.76
bizet_jeux_12_(c)yogore.mid	9.05
bizet_symphony_c_1_(c)lucarelli.mid	4.87
bizet_symphony_c_2_(c)lucarelli.mid	10.84
bizet_symphony_c_3_(c)lucarelli.mid	4.97
bizet_symphony_c_4_(c)lucarelli.mid	13.42
bloch, concerto grosso n.1 - 1 (abelson).mid	6.91
bloch, concerto grosso n.1 - 2 (abelson).mid	11.18
bloch, concerto grosso n.1 - 3 (abelson).mid	10.92
bloch, concerto grosso n.1 - 4 (abelson).mid	11.04
blow, cornett voluntary (cooke).mid	10.76
blow, voluntary on the old hundredth (cooke).mid	9.12
boellman_suite_gothique_(c)maguire.mid	7.68
boieldieu_la_dame_blanche_(c)lucarelli.mid	8.90
boyce_voluntary_1_(c)kleyn.mid	8.88
brahms-karageanes_variations_handel_24_(c)karageanes.mid	13.31
breton_escenas_andaluzas_1_(c)pajares.mid	14.17
breton_escenas_andaluzas_2_(c)pajares.mid	11.20
breton_verbena_de_paloma_(c)pajares.mid	12.38
britten_70_nocturnal_1_(c)bachovich.mid	6.15
britten_70_nocturnal_2_(c)bachovich.mid	6.00
britten_70_nocturnal_3_(c)bachovich.mid	5.49
britten_70_nocturnal_5_(c)bachovich.mid	7.89
britten_70_nocturnal_6_(c)bachovich.mid	6.75
britten_70_nocturnal_7_(c)bachovich.mid	15.32
britten_70_nocturnal_8_(c)bachovich.mid	9.57
britten_70_nocturnal_9_(c)bachovich.mid	7.45
britten_young_person_guide_orchestra_(c)pajares.mid	10.63
brouwer, fuga in E for guitar (barrientos).mid	12.88
bruch_kol_nidrei_(47)_(c)bakels.mid	10.55
bruckner_symphony_4_1_(c)bakels.mid	5.83
bruckner_symphony_4_2_(c)bakels.mid	6.99
bruckner_symphony_4_3_(c)bakels.mid	7.70
bruckner_symphony_4_4_(c)bakels.mid	7.72
bruckner_symphony_7_1_(c)pajares.mid	9.26
bruckner_symphony_8_1_(c)bakels.mid	4.65
bruckner_symphony_8_2_(c)bakels.mid	7.15
bruckner_symphony_8_3_(c)bakels.mid	7.22
bruckner_symphony_8_4_(c)bakels.mid	5.50
bruckner_te_deum_(c)unknown.mid	9.56
bruckner_te_deum_2_(c)siu.mid	8.29
bruhns, prelude and fugue e- (loquet).mid	7.60
bull, in nomine (cooke).mid	6.25
busoni-bach_toccata_e_fuga_bwv565_[unknown].mid	8.92
busoni-bach_toccata_e_fuga_in_d_minor_(matthews).mid	13.95
cabanilles_gaillardas_1_(c)mccoy.mid	12.64
cabanilles_gaillardas_3_(c)mccoy.mid	11.87
cabanilles_gaitilla_de_5_(c)mccoy.mid	10.02
cabanilles_pange_lingua_(c)mccoy.mid	5.56
cabanilles_tiento_16_(c)mccoy.mid	5.39
cabanilles_tiento_21_(c)mccoy.mid	11.60
cabanilles_tiento_3_(c)mccoy.mid	6.87
cabanilles_tiento_4_(c)mccoy.mid	5.63
cabanilles_tiento_6_(c)mccoy.mid	5.23
cabanilles_tiento_de_batalla_(c)mccoy.mid	7.88
cabanilles_tiento_de_falsas_(c)mccoy.mid	3.14
cabanilles_tiento_de_tono_pleno_(c)mccoy.mid	4.94
cantallos_sonata_c_(c)marchesano.mid	7.66
capirola, ricercare 1 [unknown].mid	10.71
capirola, ricercare 2 [unknown].mid	9.51
capocci_5_pezzi_originali_(a_amici).mid	7.44
chabrier_espana_rhapsody_(c)pajares.mid	20.12
chapi_bruja_(c)pajares.mid	19.49
chapi_revoltosa_(c)pajares.mid	8.56
cherubini_requiem_1_(c)biller.mid	4.01
cherubini_requiem_2_(c)biller.mid	2.56
cherubini_requiem_3_(c)biller.mid	7.72
cherubini_requiem_4_(c)biller.mid	5.67
cherubini_requiem_5_(c)biller.mid	8.76
cherubini_requiem_6_(c)biller.mid	1.89
cherubini_requiem_7_(c)biller.mid	7.46
chueca-valverde_gran_via_polka_(c)pajares.mid	12.46
clerambault_basse_et_dessus_(c)mccoy.mid	12.67
corelli_concerto_grosso_6_8_(c)unknown.mid	7.62
corrette_confession_(nc)werths.mid	6.47
couppey_musette_g_(nc)werths.mid	4.21
czerny_toccata_92_(c)yogore.mid	15.72
dangicourt_moulin_a_vent_(c)werths.mid	15.29
daquin_coucou_(c)werths.mid	14.73
daquin_melodieuse_(c)werths.mid	8.73
daquin_tambourin_in_g_(c)werths.mid	9.04
desprez_ave_maria_(c)unknown.mid	3.35
desprez_ave_vera_virginitas_(c)unknown.mid	3.70
desprez_kyrie_missa_de_pacem_(mccloskey).mid	4.40
desprez_quant_peulx_haver_joye_(mccloskey).mid	4.57
desprez_vox_regis_(mccloskey).mid	2.97
destouches_amadis_de_grece_(c)werths.mid	7.06
destouches_isse_passepied_(c)werths.mid	10.14
distler_choral_83-1_wie_schoen_leuchtet_(mccloskey).mid	7.18
distler_choral_83-6_ach_wie_fluechtig_(mccloskey).mid	4.40
distler_choral_83-7_christ_der_du_bist_(mccloskey).mid	3.99
dowland_complaint_(c)bachovich.mid	3.29
dowland_digorie_piper's_galliard_(c)bachovich.mid	8.30
dowland_dr_case's_pavane_(c)bachovich.mid	8.73
dowland_frog_galliard_(c)bachovich.mid	8.14
dowland_king_of_denmark_his_galliard_(c)bachovich.mid	7.61
dowland_lachrimae_(c)bachovich.mid	5.62
dowland_lady_hammond's_alman_(c)bachovich.mid	9.27
dowland_lady_rich_galliard_(c)bachovich.mid	8.55
dowland_lord_willoughby_(c)bachovich.mid	6.80
dowland_mrs_white's_nothing_(c)bachovich.mid	6.67
dowland_queen_elizabeth_galliard_(c)bachovich.mid	7.16
dowland_semper_dowland_(c)bachovich.mid	9.76
dowland_shoemaker's_wife_(c)bachovich.mid	6.47
dowland_sir_john_smith_almain_(c)bachovich.mid	8.45
dufaut_gigue_in_a_minor_(c)werths.mid	8.48
dufay_kyrie-christe-kyrie_anononym_mass(mccloskey).mid	4.47
dupre_cortege_et_litanie_(c)livingston.mid	12.66
dupre_op_18_1_(c)livingston.mid	3.81
dupre_op_18_2_(c)livingston.mid	7.66
dupre_op_18_3_(c)livingston.mid	8.29
dupre_op_18_4_(c)livingston.mid	13.52
dupre_prelude_and_fugue_op_7_1a_(winitzki).mid	14.33
dupre_prelude_and_fugue_op_7_2a_(winitzki).mid	15.29
dupre_prelude_and_fugue_op_7_3a_(winitzki).mid	11.93
dupre_symphonie_g_(c)vanzetten.mid	10.85
dupre_symphonie_passion_1_(c)livingston.mid	7.19
dupre_symphonie_passion_2_(c)livingston.mid	9.66
dupre_symphonie_passion_3_(c)livingston.mid	6.80
dupre_symphonie_passion_4_(c)livingston.mid	7.55
dupre_variations_sur_le_noe_(c)livingston.mid	10.57
durufle_suite_op_5_toccata_(winitzki).mid	14.09
dykes_navy_hymn_(nc)werths.mid	6.51
elgar, enigma variations [piano] (finley).mid	6.91
